
> easymeeting-frontend@1.0.0 dev
> vite


  [32m[1mVITE[22m v4.5.14[39m  [2mready in [0m[1m700[22m[2m[0m ms[22m

  [32m➜[39m  [1mLocal[22m:   [36mhttp://localhost:[1m3001[22m/[39m
[2m  [32m➜[39m  [1mNetwork[22m[2m: use [22m[1m--host[22m[2m to expose[22m
🔄 Proxying: GET /api/account/loadSystemSetting → http://localhost:6099/api/account/loadSystemSetting
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/loadSystemSetting → http://localhost:6099/api/account/loadSystemSetting
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
[2m21:20:04[22m [36m[1m[vite][22m[39m [32mhmr update [39m[2m/src/views/Login.vue[22m
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: POST /api/account/login → http://localhost:6099/api/account/login
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: GET /api/account/checkCode → http://localhost:6099/api/account/checkCode
🔄 Proxying: POST /api/account/login → http://localhost:6099/api/account/login
🔄 Proxying: GET /api/meetingReserve/getUpcomingMeetings → http://localhost:6099/api/meetingReserve/getUpcomingMeetings
🔄 Proxying: GET /api/userInfo/getUserInfo → http://localhost:6099/api/userInfo/getUserInfo
🔄 Proxying: GET /api/meetingInfo/getCurrentMeeting → http://localhost:6099/api/meetingInfo/getCurrentMeeting
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=0 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=0
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=1 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=1
🔄 Proxying: GET /api/userContact/loadContactApplyDealWithCount → http://localhost:6099/api/userContact/loadContactApplyDealWithCount
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=0 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=0
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=1 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=1
🔄 Proxying: GET /api/userContact/loadContactUser → http://localhost:6099/api/userContact/loadContactUser
🔄 Proxying: GET /api/userContact/loadContactApplyDealWithCount → http://localhost:6099/api/userContact/loadContactApplyDealWithCount
🔄 Proxying: GET /api/userContact/loadMyApply → http://localhost:6099/api/userContact/loadMyApply
🔄 Proxying: GET /api/meetingReserve/getUpcomingMeetings → http://localhost:6099/api/meetingReserve/getUpcomingMeetings
🔄 Proxying: GET /api/userContact/loadContactApplyDealWithCount → http://localhost:6099/api/userContact/loadContactApplyDealWithCount
🔄 Proxying: GET /api/userContact/loadContactUser → http://localhost:6099/api/userContact/loadContactUser
🔄 Proxying: GET /api/meetingReserve/getUpcomingMeetings → http://localhost:6099/api/meetingReserve/getUpcomingMeetings
🔄 Proxying: GET /api/userContact/loadContactApplyDealWithCount → http://localhost:6099/api/userContact/loadContactApplyDealWithCount
🔄 Proxying: GET /api/userContact/loadContactUser → http://localhost:6099/api/userContact/loadContactUser
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=0 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=0
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=1 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=1
🔄 Proxying: GET /api/account/loadSystemSetting → http://localhost:6099/api/account/loadSystemSetting
🔄 Proxying: GET /api/meetingReserve/getUpcomingMeetings → http://localhost:6099/api/meetingReserve/getUpcomingMeetings
🔄 Proxying: GET /api/userInfo/getUserInfo → http://localhost:6099/api/userInfo/getUserInfo
🔄 Proxying: GET /api/meetingInfo/getCurrentMeeting → http://localhost:6099/api/meetingInfo/getCurrentMeeting
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=0 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=0
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=1 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=1
🔄 Proxying: GET /api/userContact/loadContactApplyDealWithCount → http://localhost:6099/api/userContact/loadContactApplyDealWithCount
🔄 Proxying: POST /api/meetingInfo/quickMeeting → http://localhost:6099/api/meetingInfo/quickMeeting
🔄 Proxying: POST /api/meetingInfo/joinMeeting → http://localhost:6099/api/meetingInfo/joinMeeting
🔄 Proxying: GET /api/meetingInfo/getCurrentMeeting → http://localhost:6099/api/meetingInfo/getCurrentMeeting
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=0 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=0
🔄 Proxying: GET /api/meetingInfo/loadMeeting?pageNo=1&status=1 → http://localhost:6099/api/meetingInfo/loadMeeting?pageNo=1&status=1
